solicitacao_id,data_solicitacao,item_solicitado,categoria_informada,area_origem,responsavel,lote_ingestao
SOL-0001,2026-01-03,Dipirona sódica,ANALGÉSICO,NAT-JUS,PROFISSIONAL_A,1
SOL-0002,2026-01-04, paracetamol ,analgésico,VARA_CIVEL,PROFISSIONAL_B,1
SOL-0003,2026-01-05,AMOXICILINA,ANTIBIÓTICO,DEFENSORIA,PROFISSIONAL_C,1
SOL-0004,2026-01-06,Azitromicina,ANTIBIÓTICO,NAT-JUS,PROFISSIONAL_A,1
SOL-0005,2026-01-08,LOSARTANA POTASSICA,ANTI-HIPERTENSIVO,VARA_CIVEL,PROFISSIONAL_D,1
SOL-0006,2026-01-10,Metformina,ANTIDIABÉTICO,NAT-JUS,PROFISSIONAL_B,1
SOL-0007,2026-01-11,Omeprazol,GASTROPROTETOR,DEFENSORIA,PROFISSIONAL_C,1
SOL-0008,2026-01-12,Salbutamol,BRONCODILATADOR,NAT-JUS,PROFISSIONAL_A,1
SOL-0009,2026-01-14,IBUPROFENO,ANTI-INFLAMATÓRIO,VARA_CIVEL,PROFISSIONAL_D,1
SOL-0010,2026-01-15,Prednisona,CORTICOIDE,DEFENSORIA,PROFISSIONAL_B,1
SOL-0011,2026-01-17,Sinvastatina,HIPOLIPEMIANTE,NAT-JUS,PROFISSIONAL_A,1
SOL-0012,2026-01-18,Insulina   humana NPH,ANTIDIABÉTICO,VARA_CIVEL,PROFISSIONAL_C,1
SOL-0013,2026-01-20,Clopidogrel,ANTICOAGULANTE,DEFENSORIA,PROFISSIONAL_D,1
SOL-0014,2026-01-21,Enoxaparina sodica,ANTICOAGULANTE,NAT-JUS,PROFISSIONAL_B,1
SOL-0015,2026-01-22,Risperidona,ANTIPSICÓTICO,VARA_CIVEL,PROFISSIONAL_A,1
SOL-0016,2026-01-24,Olanzapina,ANTIPSICÓTICO,DEFENSORIA,PROFISSIONAL_C,1
SOL-0017,2026-01-25,Carbamazepina,ANTICONVULSIVANTE,NAT-JUS,PROFISSIONAL_D,1
SOL-0018,2026-01-27,VALPROATO DE SODIO,ANTICONVULSIVANTE,VARA_CIVEL,PROFISSIONAL_B,1
SOL-0019,2026-01-28,Levofloxacino,ANTIBIÓTICO,DEFENSORIA,PROFISSIONAL_A,1
SOL-0020,2026-01-30,Adalimumabe,IMUNOBIOLÓGICO,NAT-JUS,PROFISSIONAL_C,1
SOL-0021,2026-02-01,Infliximabe,IMUNOBIOLÓGICO,VARA_CIVEL,PROFISSIONAL_D,1
SOL-0022,2026-02-02,Formoterol,BRONCODILATADOR,DEFENSORIA,PROFISSIONAL_B,1
SOL-0023,2026-02-03,Levotiroxina sódica,HORMÔNIO,NAT-JUS,PROFISSIONAL_A,1
SOL-0024,2026-02-04,Sulfato ferroso,SUPLEMENTO,VARA_CIVEL,PROFISSIONAL_C,1
SOL-0025,2026-02-05,Acido folico,SUPLEMENTO,DEFENSORIA,PROFISSIONAL_D,1
SOL-0026,2026-02-07,Benzilpenicilina benzatina,ANTIBIÓTICO,NAT-JUS,PROFISSIONAL_B,1
SOL-0027,2026-02-08,Tenofovir,ANTIRRETROVIRAL,VARA_CIVEL,PROFISSIONAL_A,1
SOL-0028,2026-02-10,Dolutegravir,ANTIRRETROVIRAL,DEFENSORIA,PROFISSIONAL_C,1
SOL-0029,2026-02-11,Trastuzumabe,ANTINEOPLÁSICO,NAT-JUS,PROFISSIONAL_D,1
SOL-0030,2026-02-12,Rituximabe,ANTINEOPLÁSICO,VARA_CIVEL,PROFISSIONAL_B,1
SOL-0031,2026-02-13,Morfina,OPIOIDE,DEFENSORIA,PROFISSIONAL_A,1
SOL-0032,2026-02-15,Nivolumabe,ANTINEOPLÁSICO,NAT-JUS,PROFISSIONAL_C,1
SOL-0033,2026-02-16,Secuquinumabe,IMUNOBIOLÓGICO,VARA_CIVEL,PROFISSIONAL_D,1
SOL-0034,2026-02-17,Canabidiol,OUTRO,DEFENSORIA,PROFISSIONAL_B,1
SOL-0035,2026-02-18,Pembrolizumabe,ANTINEOPLÁSICO,NAT-JUS,PROFISSIONAL_A,1
SOL-0036,2026-02-19,Dipirona sodica,,VARA_CIVEL,PROFISSIONAL_C,1
SOL-0037,2026-02-20,Paracetamol,,DEFENSORIA,PROFISSIONAL_D,1
SOL-0038,2026-02-21,Clopidogrel,ANTICOAGULANTE,NAT-JUS,PROFISSIONAL_B,1
SOL-0039,2026-02-23,Insulina humana NPH,ANTIDIABÉTICO,VARA_CIVEL,PROFISSIONAL_A,1
SOL-0040,2026-02-24,Medicamento experimental X,OUTRO,DEFENSORIA,PROFISSIONAL_C,1
SOL-0041,2026-03-01,DIPIRONA   SODICA,ANALGÉSICO,NAT-JUS,PROFISSIONAL_D,2
SOL-0042,2026-03-02,Paracetamol,ANALGÉSICO,VARA_CIVEL,PROFISSIONAL_B,2
SOL-0043,2026-03-03,Amoxicilina,ANTIBIÓTICO,DEFENSORIA,PROFISSIONAL_A,2
SOL-0044,2026-03-04,Losartana potássica,ANTI-HIPERTENSIVO,NAT-JUS,PROFISSIONAL_C,2
SOL-0045,2026-03-06,Metformina,ANTIDIABÉTICO,VARA_CIVEL,PROFISSIONAL_D,2
SOL-0046,2026-03-07,Clopidogrel,ANTICOAGULANTE,DEFENSORIA,PROFISSIONAL_B,2
SOL-0047,2026-03-08,Risperidona,ANTIPSICÓTICO,NAT-JUS,PROFISSIONAL_A,2
SOL-0048,2026-03-10,Carbamazepina,ANTICONVULSIVANTE,VARA_CIVEL,PROFISSIONAL_C,2
SOL-0049,2026-03-11,Adalimumabe,IMUNOBIOLÓGICO,DEFENSORIA,PROFISSIONAL_D,2
SOL-0050,2026-03-12,Levotiroxina sodica,HORMÔNIO,NAT-JUS,PROFISSIONAL_B,2
SOL-0051,2026-03-14,Tenofovir,ANTIRRETROVIRAL,VARA_CIVEL,PROFISSIONAL_A,2
SOL-0052,2026-03-15,Trastuzumabe,ANTINEOPLÁSICO,DEFENSORIA,PROFISSIONAL_C,2
SOL-0053,2026-03-16,Nivolumabe,ANTINEOPLÁSICO,NAT-JUS,PROFISSIONAL_D,2
SOL-0054,2026-03-18,Canabidiol,OUTRO,VARA_CIVEL,PROFISSIONAL_B,2
SOL-0055,2026-03-19,Terapia celular Y,OUTRO,DEFENSORIA,PROFISSIONAL_A,2
SOL-0056,2026-03-20,Omeprazol,GASTROPROTETOR,NAT-JUS,PROFISSIONAL_C,2
SOL-0057,2026-03-22,Salbutamol,BRONCODILATADOR,VARA_CIVEL,PROFISSIONAL_D,2
SOL-0058,2026-03-23,Enoxaparina sódica,ANTICOAGULANTE,DEFENSORIA,PROFISSIONAL_B,2
SOL-0059,2026-03-24,Ácido fólico,SUPLEMENTO,NAT-JUS,PROFISSIONAL_A,2
SOL-0060,2026-03-25,Morfina,OPIOIDE,VARA_CIVEL,PROFISSIONAL_C,2
SOL-0061,2026-04-01,Ibuprofeno,ANTI-INFLAMATÓRIO,DEFENSORIA,PROFISSIONAL_D,2
SOL-0062,2026-04-02,Prednisona,CORTICOIDE,NAT-JUS,PROFISSIONAL_B,2
SOL-0063,2026-04-03,Dolutegravir,ANTIRRETROVIRAL,VARA_CIVEL,PROFISSIONAL_A,2
SOL-0064,2026-04-04,Rituximabe,ANTINEOPLÁSICO,DEFENSORIA,PROFISSIONAL_C,2
SOL-0065,2026-04-05,Pembrolizumabe,ANTINEOPLÁSICO,NAT-JUS,PROFISSIONAL_D,2
SOL-0066,2026-02-30,Paracetamol,ANALGÉSICO,VARA_CIVEL,PROFISSIONAL_B,2
SOL-0067,2026-04-07,,ANALGÉSICO,DEFENSORIA,PROFISSIONAL_A,2
SOL-0068,2026-04-08,Amoxicilina,ANTIBIÓTICO,AREA_DESCONHECIDA,PROFISSIONAL_C,2
SOL-0050,2026-04-09,Levotiroxina sódica,HORMÔNIO,NAT-JUS,PROFISSIONAL_D,2
,2026-04-10,Metformina,ANTIDIABÉTICO,VARA_CIVEL,PROFISSIONAL_B,2
